tweet_id,retweet_count,favorite_count
892420643555336193,6881,32920
892177421306343426,5181,28455
891815181378084864,3423,21379
891689557279858688,7089,35889
891327558926688256,7605,34325
891087950875897856,2550,17270
890971913173991426,1620,10075
890729181411237888,15458,55380
890609185150312448,3560,23825
890240255349198849,5989,27172
890006608113172480,6036,26305
889880896479866881,4085,23850
889665388333682689,8188,40914
889638837579907072,3652,23036
889531135344209921,1854,12979
889278841981685760,4365,21468
888917238123831296,3691,24925
888804989199671297,3464,21836
888554962724278272,2838,16862
888078434458587136,2844,18587
887705289381826560,4445,25845
887517139158093824,9657,39524
887473957103951883,14769,58671
887343217045368832,8622,28752
887101392804085760,4895,26180
886983233522544640,6191,29574
886736880519319552,2580,10224
886680336477933568,3673,19185
886366144734445568,2578,18025
886267009285017600,4,101
886258384151887873,5172,23873
886054160059072513,90,0
885984800019947520,5507,27865
885528943205470208,5237,30711
885518971528720385,3056,17427
885311592912609280,15168,0
885167619883638784,3610,18708
884925521741709313,14732,65582
884876753390489601,4580,23702
884562892145688576,3827,20728
884441805382717440,4721,23169
884247878851493888,16629,61920
884162670584377345,2460,17425
883838122936631299,2807,18606
883482846933004288,8102,39046
883360690899218434,3021,19384
883117836046086144,5439,31651
882992080364220416,3187,20428
882762694511734784,4028,24135
882627270321602560,4964,23924
882268110199369728,9426,38225
882045870035918850,4007,24987
881906580714921986,2793,20837
881666595344535552,8769,43284
881633300179243008,8,112
881536004380872706,13157,42244
881268444196462592,4394,19843
880935762899988482,2284,14585
880872448815771648,3153,18204
880465832366813184,5127,24371
880221127280381952,3408,23008
880095782870896641,3580,23612
879862464715927552,2874,19151
879674319642796034,9,281
879492040517615616,2587,20106
879415818425184262,36736,90508
879376492567855104,2611,14460
879130579576475649,5619,0
879050749262655488,3870,19253
879008229531029506,2204,16307
878776093423087618,3372,16604
878604707211726852,5813,25747
878404777348136964,1051,0
878316110768087041,5431,0
878281511006478336,1051,6590
878057613040115712,5619,35921
877736472329191424,15527,67515
877556246731214848,3107,19340
877316821321428993,4264,23514
877201837425926144,4536,23229
876838120628539392,2760,17699
876537666061221889,3888,20360
876484053909872640,1961,16095
876120275196170240,3842,23968
875747767867523072,3513,21486
875144289856114688,4087,18888
875097192612077568,5008,23523
875021211251597312,3887,21886
874680097055178752,3843,23847
874434818259525634,12026,0
874296783580663808,3413,22327
874057562936811520,3312,19448
874012996292530176,8430,29256
873580283840344065,3280,20771
873337748698140672,1308,0
873213775632977920,1308,6147
872967104147763200,4476,23423
872820683541237760,3103,12730
872620804844003328,3006,17736
872486979161796608,7530,35011
872122724285648897,6699,29410
871879754684805121,9091,32164
871762521631449091,2917,17376
871515927908634625,2883,17388
871166179821445120,4805,0
871102520638267392,4587,18045
871032628920680449,3167,19624
870804317367881728,5186,28952
870726314365509632,3,101
870656317836468226,2159,10584
870374049280663552,22172,71366
870308999962521604,3486,18932
870063196459192321,6952,31576
869772420881756160,8499,36754
869702957897576449,5302,24341
869596645499047938,2587,13736
869227993411051520,3141,17629
868880397819494401,12035,56479
868639477480148993,1711,0
868622495443632128,4381,22969
868552278524837888,1711,8678
867900495410671616,3509,21008
867774946302451713,6150,29495
867421006826221569,2086,13921
867072653475098625,99,0
867051520902168576,6674,27935
866720684873056260,4070,17387
866686824827068416,2916,16683
866450705531457537,29623,105909
866334964761202691,12026,45401
866094527597207552,7044,0
865718153858494464,4732,22248
865359393868664832,4206,22956
865006731092295680,6555,24374
864873206498414592,7361,28036
864279568663928832,2533,12701
864197398364647424,7439,25995
863907417377173506,3535,17937
863553081350529029,3572,13295
863471782782697472,2051,0
863432100342583297,4487,20679
863427515083354112,80,1920
863079547188785154,939,7712
863062471531167744,2051,7308
862831371563274240,4379,16763
862722525377298433,3035,14924
862457590147678208,4177,17810
862096992088072192,19662,64707
861383897657036800,9108,31484
861288531465048066,3522,14958
861005113778896900,3267,14561
860981674716409858,1825,0
860924035999428608,664,0
860563773140209665,1825,6552
860524505164394496,4511,20633
860276583193509888,3007,16057
860184849394610176,5020,14596
860177593139703809,26214,0
859924526012018688,3513,17103
859851578198683649,3017,13590
859607811541651456,1348,16369
859196978902773760,25812,78451
859074603037188101,11774,29706
858860390427611136,6959,0
858843525470990336,2979,13787
858471635011153920,4190,18971
858107933456039936,2488,13850
857989990357356544,2230,14091
857746408056729600,9182,30047
857393404942143489,1414,5172
